Check,SKU,UPC,Description,Price,CurrencyCode,Sell_Unit
1,003001077,000000000002955042,Duoi Ca Bong lau Kg-NCC,38,000,VND,KG
1,003001087,000000000002955063,Ca Ba Trau Kg,69,900,VND,KG
1,003001114,000000000002955120,S-Dau Ca Thu ao Kg,35,000,VND,KG
1,003001115,000000000002955121,S-Duoi Ca Thu ao Kg,50,000,VND,KG
1,003001117,000000000002955123,Vi Ca Ngu Kg,75,000,VND,KG
1,003001124,000000000002955132,S-Minh Ca Thu ao Kg,50,000,VND,KG
1,003001143,000000000002955203,File Ca Chem lon tuoi Kg,220,000,VND,KG
1,003001148,000000000002955225,Ca Say so che Kg,28,000,VND,KG
1,003001157,000000000002955509,Muc ong 10-12 Kg,60,000,VND,KG
1,003001160,000000000002955513,Muc tuoi muoi nho Kg,105,000,VND,KG
1,003001164,000000000002956000,Cua dong Kg,29,000,VND,KG
1,003001165,000000000002956001,Cua thit Kg,330,000,VND,KG
1,003001170,000000000002956006,Hen Kg,40,000,VND,KG
1,003001171,000000000002956007,Ghe song L1 (3-4c) Kg,450,000,VND,KG
1,003001173,000000000002956009,Cua lot Kg,469,000,VND,KG
1,003001175,000000000002956011,So huyet Kg,80,000,VND,KG
1,003001176,000000000002956012,Cang ghe Kg,350,000,VND,KG
1,003001177,000000000002956013,Oc Mo Kg,165,000,VND,KG
1,003001178,000000000002956014,Chem chep Kg,90,000,VND,KG
1,003001179,000000000002956015,Oc Gao Kg,29,900,VND,KG
1,003001180,000000000002956016,Oc Dang Kg,30,900,VND,KG
1,003001181,000000000002956017,So lua kg,32,000,VND,KG
1,003001182,000000000002956018,Hai sam Kg,240,000,VND,KG
1,003001183,000000000002956019,Oc Len Kg,140,000,VND,KG
1,003001184,000000000002956020,Oc Buu nguyen song Kg,45,900,VND,KG
1,003001185,000000000002956021,Cua da Kg,18,000,VND,KG
1,003001186,000000000002956023,Cua lot song Kg,420,000,VND,KG
1,003001187,000000000002956025,So long Kg,49,900,VND,KG
1,003001188,000000000002956028,Coi So diep Kg,310,000,VND,KG
1,003001189,000000000002956029,Con Vem tuoi Kg,29,000,VND,KG
1,003001192,000000000002956036,Gach cua bien kg,182,900,VND,KG
1,003001598,000000000002957001,Bun tuoi kg,10,500,VND,KG
1,003001599,000000000002957002,Mi tuoi Kg,6,000,VND,KG
1,003001600,000000000002957004,Bun bo Kg,10,500,VND,KG
1,003001601,000000000002957005,Banh canh Kg,11,000,VND,KG
1,003001602,000000000002957009,La hoanh thanh Kg,25,000,VND,KG
1,003001603,000000000002957010,Banh Hoi Kg,17,500,VND,KG
1,003001605,000000000002957015,Ca mam nem kg,62,000,VND,KG
1,003001608,000000000002957018,Kim chi Han Quoc kg,79,500,VND,KG
1,003001609,000000000002957019,Mam Thai du du kg,79,000,VND,KG
1,003001610,000000000002957020,Mam ca phao kg,65,500,VND,KG
1,003001612,000000000002957022,Tom chua hue kg,149,000,VND,KG
1,003001613,000000000002957023,Dua mam kg,73,500,VND,KG
1,003001615,000000000002957025,Dua leo xanh kg,101,000,VND,KG
1,003001616,000000000002957026,Cu sen chua ngot kg,56,000,VND,KG
