0,57019,57019,Mam Thai du du kg,79000,KG,0
0,57020,57020,Mam ca phao kg,65500,KG,0
0,57031,57031,Mam sac nguyen con kg,100000,KG,0
0,57032,57032,Mam Linh nguyen con kg,88500,KG,0
0,55088,55088,Bao tu Basa tuoi Kg-NCC,43900,KG,0
0,55022,55022,Ca tai tuong kg,89900,KG,0
0,51724,51724,Trai Sung kg,49900,KG,0
0,51645,51645,Man Com kg,38500,KG,0
0,51592,51592,Dua huong kg,11900,KG,0
0,51573,51573,Chuoi chat kg,38200,KG,0
0,50118,50118,Can nuoc Kg,32500,KG,0
0,50115,50115,Dau ngu tuoi Kg,45000,KG,0
0,50112,50112,Dau ngot kg,139000,KG,0
0,51758,51758,Cherry My kg,450000,KG,0
0,50796,50796,Dau Bo kg,300000,KG,0
0,50802,50802,Nam rom kg,89900,KG,0
0,50888,50888,Chanh DaLat kg,34000,KG,0
0,57275,57275,Kho ca luoi trau kg,165000,KG,0
0,57277,57277,Kho ca sac bo dau kg,290000,KG,0
0,57287,57287,Kho ca Tren kg,287000,KG,0
0,57281,57281,Kho muc lon kg,670000,KG,0
0,57283,57283,Kho ruoc Hue kg,195000,KG,0
0,57263,57263,Kho ca Loc xe kg,325000,KG,0
0,55328,55328,C-Ca Moi so che kg,27000,KG,0
0,55351,55351,Dau ca Hoi kg,29500,KG,0
0,50139,50139,Hung cay kg,47900,KG,0
0,50759,50759,Chanh khong hat kg,29900,KG,0
0,56665,56665,Thit dui heo quay kg,190000,KG,0
0,56666,56666,Ba roi quay kg,225000,KG,0
0,56668,56668,Heo sua quay tu 10kg,240000,KG,0
0,50123,50123,Nha dam kg,10200,KG,0
0,50762,50762,Ot chuong do DLat kg,31500,KG,0
0,50791,50791,Bi ngoi vang kg,56900,KG,0
0,50821,50821,Gung non kg,16900,KG,0
0,50878,50878,Kieu tuoi lam sach kg,65000,KG,0
0,51530,51530,Xoai cat bo kg,19900,KG,0
0,51595,51595,Tao bi xanh My kg,39500,KG,0
0,51618,51618,Buoi nam roi - nglieu ep nuoc,25000,KG,0
0,51638,51638,Cam Sanh loai 2,56000,KG,0
0,51644,51644,Chom chom giong Thai kg,29500,KG,0
0,11501,11501,S-Buoi nam roi loai 2 kg (1),10000,KG,0
0,55183,55183,C-Ca thac lac quet kg,95000,KG,0
0,55059,55059,Ca Linh kg,56900,KG,0
0,11544,11544,S-Man HaNoi kg (1),9000,KG,0
0,57043,57043,Kim chi kg,79500,KG,0
0,57285,57285,Kho ca com sua kg,155000,KG,0
0,55093,55093,Ca Hong Cham kg,75000,KG,0
